LETRA;NOMBRE;OBJETO;SERVICIOS;UBICACIÓN;TEL;WEB;TAG;
C;Centro de Integración Juvenil, A.C.;"Prestación de toda clase de servicios de prevención, tratamiento y rehabilitación del consumo de drogas legales e ilegales entre la juventud y población en general.
Promover y fomentar la capacitación profesional para la prevención, tratamiento y rehabilitación del consumo de drogas legales e ilegales entre la juventud y la población en general y prioritariamente en aquellos sectores de escasos recursos económicos.                    Busca sensibilizar a la población sobre la importancia de dar tiempo y esfuerzo en la búsqueda de una mejoría de la calidad de vida a través del voluntariado.";Servicios de prevención, tratamiento y rehabilitación del consumo de drogas legales e ilegales entre la juventud y población en general.;Raúl Calderón G. 240, Sertoma, Monterrey. ;81 8348 0291;;Prevención de Adicciones/ Salud;
C;Centro de Internamiento y Tratamiento de Adicciones, A.C.;"Brindar servicios accesibles y profesionales de rehabilitación para jóvenes y adultos con dependencia a sustancias, apoyando también a sus familias y promoviendo su desarrollo personal y bienestar.


";Opera centros especializados con programas de internamiento, tratamiento ambulatorio, internamiento parcial o centros diurnos, programas de atención a familias, seguimiento y reforzamiento, así como capacitación para especialistas en salud humana.;Alcatraces  183 Colonia Alcatraces Residencial San Nicolás de los Garza, N.L., C.P. 66470;; empaqueslogisticos1@gmail.com;Pevención de Adicciones;
C;Centro de Rehabilitación Fortaleza Alvaldi, A.C.;"La rehabilitación y readaptación a la sociedad de individuos marginados, alcohólicos, drogadictos e inadaptados sociales en general; La difusión de técnicas e instrucción para la niñez y la juventud, para mantenerlos alejados del alcoholismo y delincuencia, incluyendo los centros donde se brinde apoyo y orientación a dichas personas; ";Tratamientos residenciales en un ambiente libre de droga que usa un modelo jerárquico (Comunidades Terapéuticas) que reflejan niveles cada vez mayores de responsabilidad personal y social, en donde el usuario es dinamizador de su proceso pues está basado en 6 etapas las cuales deberá ir cursando de forma óptima acompañado por nuestro equipo multidisciplinario.;Nuevo León 301, colonia Alfonso Martínez Domínguez, en García Nuevo León, C.P. 66006;8118006000;ctx.fortaleza@gmail.com  https://www.facebook.com/Fortaleza-Alvaldi-ac-1629407260625755;Pevención de Adicciones;
C;Centro de Rehabilitación para la Integridad Social, A.C.;" Brindar un modelo de atención integral y de calidad para que aquellos que sufren una adicción pueden reintegrase como miembros productivos de la sociedad.

";;Montemorelos 124, colonia Nuevo León;"81 11996145  
";cris.rehabilitaa@gmail.com;Pevención de Adicciones;
C;Centro de Tratamiento Portal de Luz, A.C.;Centro de rehabilitación en Adicciones;Brindar la atención y el acompañamiento que se necesita para superar las adicciones y recuperar el bienestar  con un equipo profesional comprometido.;Prol. Hidalgo 714, Cabecera Municipal, 66000 García, N.L.;81 2369 1371;;Pevención de Adicciones;
C;CIDEPO, Centro de Investigación y Desarrollo de Políticas Públicas, A.C. ;Brindar capacitación y formación académica, desarrollo y ejecución de modelos de intervención y de disciplina positiva, así como capacitación y asistencia jurídica especializada, investigación en modelos de desarrollo y políticas públicas, desarrollo y ejecución de programas de participación social y ciudadana, divulgación y promoción de modelos emprendedores con responsabilidad social, promoción, capacitación y fomento de equidad de género, servicios para la atención de grupos sociales con discapacidad, en situación de migración, entre otros;"Programa de atención Integral a Migrantes en tránsito por Nuevo León
Ayuda humanitaria (comida, techo y vestido.
Apoyo psicológico, mediante grupos de reflexión y contención emocional, así como atención individual.
Gestoría de servicios médicos, para lograr que se les atienda en los hospitales de la localidad.
Asesoría legal, apoyándoles a regularizar su estatus migratorio, cuando es posible.
Apoyo educativo, encontrando espacios donde puedan aprender oficios o bien realizar su educación formal. En el tiempo que se encuentren en el estado.

•        Asesoría legal, apoyándoles a regularizar su estatus migratorio, cuando es posible.
•        Apoyo educativo, encontrando espacios donde puedan aprender oficios o bien realizar su educación formal. En el tiempo que se encuentren en el estado.
";Paseo de las Américas 2211, Contry la Silla 9no. Sector, Guadalupe, NL ;27199506;info@cidepo.org  http://cidepo.org/;Asistencia Social ;
C;CISS, Centro de Información de Salud Sexual y VIH/Sida A.C.;Prevención y atención de salud sexual y VIH.;Pruebas de detección, consejería y campañas preventivas.;Francisco Villa SN Col. La Petaca, Linares Nuevo León;8261257420;ciss_ac_07@hotmail.com;VIH;
C;Clínica de Rehabilitación de Esperanza y Crecimiento Espiritual, A.C.;"Organizar cursos, pláticas, talleres y seminarios enfocados en la prevención, además de promover el voluntariado para mejorar la calidad de vida de las personas.

";Clínica Especializada en Adicciones;Durazno, Monterrey, Mexico, 64530;"812-622-0856

";;Pevención de Adicciones;
C;Clínica Los de Jiménez A.C.;"La asistencia o rehabilitación médica o la atención en establecimientos especializados;  la rehabilitación de alcohólicos y fármaco dependientes; impartición de cursos, diplomados, talleres y demás actividades educativas en relación a temas de psicología, psiquiatría, trastornos por uso de sustancias, depresivos, ansiosos, y demás que tengan comorbilidad con los mismos, tanto en el centro como extramuros.";Tratamiento contra adicciones y cursos de salud mental.;Mariano Jiménez 727, Centro, Monterrey. ;81 2909 7312;;Pevención de Adicciones;
C;Club Canófilo de la Sultana del Norte A.C.;Fomentar la cría de perros o gatos de razas puras en el territorio nacional, con sede en Nuevo León así como fomentar la promoción, respeto, protección y garantías de los derechos humanos de sus agremiados o sociedad ante el Estado o particulares de conformidad con los principios de universalidad, interdependencia, indivisibilidad, y progresividad, además la observancia del respeto a los derechos humanos de sus agremiados o sociedad en general, apoyo a la defensa y promoción de los derechos humanos, apoyo y asistencia en personas con discapacidad con perros guía entre otras;Defensa legal animal y asistencia para personas con discapacidad.;Portal de Cumbres, Monterrey. ;81 1563 6207;;Mascotas;
C;Colegio Mexicano de Profesionales en Gestión de Riesgo y Protección Civil, A.C. CMPGPC;Impartir enseñanza en protección civil y gestión de riesgos, en materia de prevención y atención de desastres, con autorización o con reconocimiento de validez oficial de estudios en los términos de la Ley General de la Educación.;Capacitación, certificación, asesorías a organizaciones e instituciones en materia de gestión de riesgos y protección civil. ;;81 8320 5093;;Protección civil ;
C;Colectivo Zona Ruah;Promoción de la cultura, paz y derechos humanos.;Talleres artísticos y programas de mediación comunitaria.;;;;Mediación/Educación/Legal;
C;Colegio de Abogados de Monterrey, A.C.;Organización profesional cuya presencia en el foro nacional e internacional se manifieste a través de la consejería, asesoría legal, litigios domésticos e internacionales, con el fin de comprometernos más cada día con la sociedad, manteniendo una vocación de ayuda a la comunidad y al país, mientras que, al interior de la asociación, promoviendo el ejercicio profesional con integridad, lealtad y ética, con una profunda convicción de servicio de nuestros agremiados.;Asesoría jurídica y litigio en todas las disciplinas de la profesión;;;colegiodeabogadosdemonterreyac@hotmail.com;Legal ;
C;Colegio de Profesionales Promotores de la Cultura de los Derechos Humanos, A.C.;"
 La promoción, el respeto, la protección y la defensa de los derechos humanos, de acuerdo a los principios de universalidad, interdependencia, indivisibilidad y progresividad establecidos en la Constitución Política de los Estados Unidos Mexicanos.
 Ser gestores, promotores y facilitadores de la cultura jurídica y de los valores enfocados a los derechos humanos, basados en la igualdad y la no discriminación motivada por el origen étnico, de género, la edad, las discapacidades, la condición social, la salud, la religión, la opinión de ideas, las preferencias sexuales, el estado civil o cualquier otra que atente contra la dignidad humana y tenga por objeto anular o menoscabar los derechos y las libertades de las personas en los términos de las disposiciones legales y de los Tratados Internacionales de los que el Estado Mexicano sea parte.
";Asociación Civil dedicada a la difusión y promoción de los temas en torno a los Derechos Humanos;" Av. San Pedro 801, Col. Fuentes del Valle, San Pedro Garza García, Nuevo León.

";;colegiodeprofesionalespcdh.com   info@colegiodeprofesionalespcdh.com;Derechos Humanos/ Educación ;
C;Colegio Nacional de Consejeros en Prevención de Conductas Antisociales, A.C. (CONACON);Agrupar a todos los profesionales, técnicos e interesados en estudiar los problemas relacionados con la prevención de las conductas antisociales, así como de las ramas afines.;Capacitación, profesionalización,  congreso,  foros, conversatorios,  acompañamiento tanto en las funciones de consejeros como de trabajos de políticas públicas y procesos que trabaje el colegio nacional de consejeros en Adicciones y Salud Mental ; ; ;contacto@conacon.org;Pevención de Adicciones;
C;Comparte M, A.C.;Proporcionar asistencia social y desarrollo comunitario en materia alimentaria, vivienda, salud, transporte, proyectos productivos, programas comunitarios y cualquier otra actividad que genere desarrollo social a las personas, sectores y regiones de escasos recursos y grupos vulnerables por edad, sexo o discapacidad. ;Asesoría jurídica, apoyo psicológico, capacitación por parte de distintos especialistas, cursos, talleres, manualidades, entrega de despensas, brigadas médicas e implementación de proyectos.;Jardín Encino 5114, entre Av. Ruiz Cortines y Alberto y Framboyán, Col. Valle Verde 1er. Sector, Monterrey, N.L. C.P. 64369;8188500700;ng_rodarte@live.com;Legal/ Penitenciario;
C;Conquista y Victoria, A.C.;"Rehabilitación de personas con problemas de alcoholismo y farmacodependencia; asistencia jurídica, apoyo y promoción, por la tutela de menores de 18 años, para la readaptación social de personas que han llevado a cabo consumo de sustancias ilícitas.";Internamiento residencial de 6 meses para hombres.;MM del Llano 1516, Centro, Monterrey.;81 1665 6532;;Pevención de Adicciones;
C;Conquistando Victorias, A.C. ;Atención a requerimientos básicos de subsistencia en materia de alimentación, vestido y vivienda, la asistencia o rehabilitación en centros especializados, así como la asistencia jurídica y apoyo en distintos ámbitos sociales. ;Fisioterapia, equipo médico y gestión de inclusión laboral.;Cuarta Vidriera 1654, colonia Centro de Monterrey, Nuevo León, C.P. 64550; ;abel_vargas79@hotmail.com ;Pevención de Adicciones;
C;Consejo Cívico de Instituciones de Nuevo León;Organización que impulsa la participación ciudadana a través de la vinculación y trabajo colaborativo de la sociedad civil organizada de Nuevo León, con el objetivo de construir una mejor comunidad para vivir.;Vinculan, fortalecen y acompañan a las y los actores de la sociedad civil organizada para solucionar problemáticas y retos de su comunidad, a través de tres ejes de incidencia: entro de fortalecimiento para para organizaciones, Plataforma ¿Cómo vamos? E Impulso a causas ciudadanas ;Avenida del Estado 208, Tecnológico, Monterrey, C.P. 64700, Nuevo León, México.;8189892600;https://consejocivico.org.mx/;Legal/Organizaciones ;
C;Consejo Coordinador de Mujeres Empresarias, Capítulo Nuevo León;Promover la colaboración entre mujeres líderes para potencializar la participación de las mujeres en el ámbito público y privado.; ;Pasaje de los manantiales 3003, Riberas del Río, Guadalupe, NL, 067160;8129190444;contacto@ccmenl.org.mx   http://www.ccme.org.mx/;Mujeres/Empresas;
C;Consejo Regional de Industriales del Juego;Desarrollar actividades en favor de los actores que participan en el ecosistema de las salas de juego. Además de actividades de beneficencia en favor de los grupos prioritarios. ;Salas de juego. Beneficencia social;;;https://www.facebook.com/crindustrialesdeljuego ;Labor social;
C;Consorcio Danzón;Clases de danzón ;Clases de danzón nivel iniciación, nivel medio y nivel avanzado, talleres de danzón, y presentaciones con espectáculo de historia del danzón y demostración con grupo de bailadores (mínimo 3 parejas, hasta 8 parejas);;811 186 6315;dra.alenaranjo@gmail.com;Recreación/ Personas mayores;
C;Construyendo una Sociedad Sostenible, A.C. (SOSAC);"Promover entre la población la prevención y control de la contaminación del agua, del aire y del suelo, la protección al ambiente y la preservación y restauración del equilibrio ecológico. La realización de actividades de investigación o preservación de la flora o fauna silvestre, terrestre o acuática, dentro de las áreas geográficas definidas que señale el SAT mediante reglas de carácter general.
"; Apoyo en el aprovechamiento de los recursos naturales, la protección del ambiente, la flora y la fauna, la preservación y restauración del equilibrio ecológico, así como la promoción del desarrollo sustentable a nivel regional y comunitario, de las zonas urbanas y rurales.;Avenida Del Estado 208, Colonia Tecnológico, Monterrey, Nuevo León, C.P. 64700; ;hola@sosac.org;Medio ambiente ;
C;Creando Espacios, Laboratorio de Innovación Cívica, A.C.;Realiza actividades de defensa y promoción de los derechos humanos, así como de cultura cívica enfocadas a promover la participación ciudadana, beneficiando a personas, sectores, regiones de escaso recursos;Participación ciudadana a través de actividades de defensa y promoción de los derechos humanos,;Gómez Morin 456, Col. Del Valle, San Pedro Garza García, N.L.;;creandoespaciosmexico@gmail.com;Educación/ Derechos Humanos;
C;CRECE, A.C. (Clínica de Rehabilitación);Rehabilitación de adicciones y orientación social.;Terapia psicológica en comunidad terapéutica para varones.;Durazno 2500, Col. Moderna, Monterrey. ;81 1993 5737;;Pevención de Adicciones;
C;CreeSer, A.B.P.;Contribuir al desarrollo integral de niñas, niños, adolescentes y jóvenes en zonas desfavorecidas de México: áreas populares urbanas, rurales e indígenas, mediante acciones educativas que contribuyan a una cultura de paz.; ;Av. Ricardo Covarrubias 3303, entre Boulevard Primavera e Independiente, en el centro del parque, Col. Primavera 1er sector, C.P. 64830 Monterrey , N.L. ;"8112342929 8183103948 
8112342929";"info@creeser.org.mx; direccion@creeser.org.mx  www.creeser.org.mx";Niñez/Educación;
C;CRV Una Luz de Vida, A.C.;Centro de rehabilitación varonil comprometidos con el bienestar de nuestros residentes enseñándoles las herramientas necesarias para que así logren su recuperación y reinserción a la sociedad.;Centro de rehabilitación varonil; Norteamericanos 124, 66648, Apodaca, N.L.;81 8600 9488;;Pevención de Adicciones;
C;CT Sin miedo a vivir, A.C.;Organización sin fines de lucro, que tiene por objeto, entre otros: Ejecutar, desarrollar, organizar, participar en la difusión, así como brindar capacitación y orientación para garantizar una vida sana y promover el bienestar para todos en todas las edades, que hayan tenido relación con las adicciones. Fortalecer la prevención y el tratamiento del abuso de sustancias adictivas, incluido el uso indebido de estupefacientes y el consumo nocivo de alcohol.;Tratamiento contra adicciones;Portón 902,  Col. Villa de San Miguel, Guadalupe, N.L.;8121895999;;Pevención de Adicciones;
C;Consorcio Danzón;Clases de danzón nivel iniciación, nivel medio y nivel avanzado, talleres de danzón, y presentaciones con espectáculo de historia del danzón y demostración con grupo de bailadores (mínimo 3 parejas, hasta 8 parejas);;; 811 186 6315;"dra.alenaranjo@gmail.com  https://www.facebook.com/profile.php?id=100041575101751&mibextid=ZbWkwL.
https://sites.google.com/view/consorciodanzon/p%C3%A1gina-principal
Instagram: @consorcio.danzon";Personas mayores/ danza;
D;Donec Vitae, A.C.;Ser una asociación civil sin fines de lucro teniendo como beneficiarios a personas, sectores, y regiones de escasos recursos, realizando actividades para lograr mejores condiciones de subsistencia y desarrollo de grupos vulnerables por edad, sexo o problemas de discapacidad, teniendo como actividad principal la publicación y distribución de libros, folletos, revistas, y material de subsistencia en materia de alimentación, vestido o vivienda, la asistencia o rehabilitación médica o a la atención en establecimientos especializados, orientación social, educación o capacitación para el trabajo, la promoción de la participación organizada de la población en las acciones que mejoren sus propias condiciones de subsistencia en beneficio de la comunidad. ;Tratamiento contra adicciones;Julián Villarreal 223, Colonia Centro de Monterrey, Nuevo León, C.P. 64000;;hradolescentes@gmail.com;Pevención de Adicciones;
D;Doulas, A.C.;Consolidar a Doulas como elemento clave de parto humanizado en nuestra sociedad, una asociación que agremia a Doulas de la región.;Brinda acompañamiento, soporte emocional y ofrece medidas de confort a mujeres durante el embarazo, el parto y el post parto, con funciones distintas a los profesionales de la Salud como parteros, ginecólogos enfermeros ante la sociedad , instituciones y autoridades.;Albuquerque109, colonia Cumbres San Agustín, Monterrey, Nuevo León, Código postal 64349;8180296342;vargaschapa@gmail.com  https://www.facebook.com/doulasmonterrey/?ref=page_internal  https://www.instagram.com/doulasmty/?hl=es;Mujeres/ Embarazo;
D;DyR Respiro de Vida, A.C. (Colón);La misión de DYR Respiro de Vida A.C. es rehabilitar y facilitar la reinserción social de personas con adicciones y patología dual mediante atención integral, así como promover la prevención de las adicciones, la orientación a servicios especializados y la educación para el cuidado de la salud física y mental.;"Tratamiento residencial mínimo de 6 meses. Atención psicológica, grupal, individual y vivencial. Tratamiento y seguimiento médico. Atención psicológica a padres de familia, programa AA y NA, consejería individual en adicciones. Servicios básicos dignos, comida balanceada y monitoreada por nutrióloga, buenas instalaciones.
 ";Colón 609, Col. Centro, Monterrey N. L.;8130788944   8139544521;unrespiroalavida@gmail.com;Pevención de Adicciones;
D;DyR Respiro de Vida, A.C. (Francisco I. Madero);La misión de DYR Respiro de Vida A.C. es rehabilitar y facilitar la reinserción social de personas con adicciones y patología dual mediante atención integral, así como promover la prevención de las adicciones, la orientación a servicios especializados y la educación para el cuidado de la salud física y mental.;"Tratamiento residencial mínimo de 6 meses. Atención psicológica, grupal, individual y vivencial. Tratamiento y seguimiento médico. Atención psicológica a padres de familia, programa AA y NA, consejería individual en adicciones. Servicios básicos dignos, comida balanceada y monitoreada por nutrióloga, buenas instalaciones.
 ";Francisco I. Madero 508 Monterrey Centro.;8130788944  8139544521;unrespiroalavida@gmail.com;Pevención de Adicciones;
D;Derechos de la Infancia México, A.C. REDIM ;"Proteger; promover, difundir y defender los derechos de la infancia mexicana, a través de acciones y programas específicos, sin perseguir fines de lucro. ";Se brindan recomendaciones sobre los mecanismos jurídicos para presentar una demanda, una denuncia o una queja, así como cuáles son las autoridades pertinentes para atender y resolver casos de violaciones a los derechos humanos.;Avenida México Coyoacán 350, Colonia General Pedro María Anaya, Ciudad de México. CP 03340; 55 5601 627;direccion@derechosinfancia.org.mx  https://www.facebook.com/derechosinfancia.org.mx                                       http://www.derechosinfancia.org.mx/                                                                                                       Twitter: @derechoinfancia                                                                                                                      Instagram: redim_mx;Niñez/Educación/Legal ;
E;Effeta, A.C.;Atención a toda clase de personas, niñas, niños, jóvenes y personas adultas con discapacidad, así como la capacitación laboral, entre otros. La prestación de toda clase de asistencia, apoyo. Ayuda a cualquier persona que por su situación económica requiera de servicios de atención de terceras personas.;Escuela de educación especial para niñas, niños y jóvenes con discapacidad intelectual, preparándoles para la vida laboral y a sus familias para brindarles un entorno de inclusión y ejercicio de derechos humanos.;Priv. Cholula 1895 Pte. 15 de Mayo, Col. María Luisa Monterrey  N.L.;8111333382;effeta@effeta.edu.mx  ;Niñez/Educación/ Discapacidad;
E;El Cambio está en Mí, A.C.;Organización sin fines de lucro, que tiene por objeto, entre otros: Ejecutar, desarrollar, organizar, participar en la difusión, así como brindar capacitación y orientación para garantizar una vida sana y promover el bienestar para todos en todas las edades, que hayan tenido relación con las adicciones. Fortalecer la prevención y el tratamiento del abuso de sustancias adictivas, incluido el uso indebido de estupefacientes y el consumo nocivo de alcohol.;Tratamiento contra adicciones;Manuel Banda 701 col. Francisco Villa, Monterrey, N.L. ;"81 3256 1579
";estaenmielcambio@gmail.com;Pevención de Adicciones;
E;Embajadores de Derechos Humanos de la Infancia, A.C.;Atención a requerimientos básicos de subsistencia en materia de alimentación, vestido o vivienda. ;Asistencia o rehabilitación médica o a la atención en establecimiento especializados. Asistencia jurídica, el apoyo y la promoción para la tutela de los derechos de los menores, así como para la readaptación social de personas que han llevado a cabo conductas ilícitas. La rehabilitación de alcohólicos y fármaco dependientes. Ayuda para servicios funerarios. Orientación social, educación, o capacitación para el trabajo. Entendiendo por orientación social la asesoría en materias tales como la familia, la educación, la alimentación, el trabajo y la salud. Apoyo para el desarrollo de los pueblos y comunidades indígenas.;Trinidad, 1240, Colonia privadas de Santa Catarina, sector Elite, Santa Catarina Nuevo león. C.P. 66367;;https://www.facebook.com/Embajadores-De-Derechos-Humanos-De-Infancia-AC-104484451113453/?ref=page_internal;Niñez/Educación;
E;En busca de un Milagro, A.C.;Brindan atención especializada e integral a personas con dependencias a sustancias psicoactivas y comportamientos adictivos, así como a sus familias. ;Tratamientos, incluyendo residenciales (internado), ambulatorios, desintoxicación, programas de 12 pasos, terapia de sustitución, tratamiento de día, acompañamiento y apadrinamiento. Terapia individual, grupal, familiar, cognitivo-conductual, de arte o musicoterapia, ocupacional y espiritual. Actividades complementarias como talleres educativos, actividades deportivas y artísticas, meditación y mindfulness, apoyo académico y capacitación laboral.;"Héctor González 607, San Juan, 67300 Santiago, N.L.


";81 2603 5085;enbusca.daniela@gmail.com;Pevención de Adicciones;
E;Encuentro Mundial de Valores, A.B.P. y Chárter for Compassion;Promoción de la Participación organizada de la población de escasos recursos y grupos ? vulnerables por edad?, ?sexo o discapacidad?, ?sus actividades no tienen fines lucrativos?.?;Difundir mediante actividades académicas, proyectos y movimientos que fortalezcan la democracia y valores sociales, buscando la participación de organizaciones, líderes nacionales e internacionales.;Francisco Garza Sada 2925 -F, Col. Chepevera, C.P.64030 Monterrey, N.L.;8112572544;contacto@encuentromundialdevalores.org   http://encuentromundialdevalores.org/;Valores/Educación;
E; Concierto de Vida, A.C. Asociación de Esclerosis Múltiple;"Cuidado, rehabilitación, asesoría, asistencia médica, terapias de rehabilitación, apoyo moral, psicológico, proporcionar medicinas y medicamentos a las personas asociadas que padecen esclerosis múltiple; así como el apoyo moral y psicológico y asesoría a sus familiares.";Atención integral de pacientes con esclerosis múltiple;Albino Espinosa 1047 Pte., Centro, Monterrey. ;81 2089 5091;;Salud;
E;Explora T, A.C. ;Impulsar el bienestar, la dignidad y la inclusión de las personas LGBTIQ+ en Nuevo León mediante acciones que fortalezcan su salud mental, su participación social y su sentido de comunidad.;Desarrolla iniciativas enfocadas al bienestar personal y la inclusión, como acompañamiento y detección oportuna de VIH/ITS, fortalecimiento de la salud mental, promoción del envejecimiento activo y saludable, asesoría y capacitación organizacional, y la creación de una Red Estatal de Psicología Inclusiva para fomentar entornos respetuosos de los derechos de las personas LGBTIQ+.;Washington 2340 poniente. Col. María Luisa. Monterrey, Nuevo León;81 83463732 812902 0966;mario@explorat.org.mx;Diversidad Sexual/Educación;
F;Fomento Prevocacional Severiano Martínez, A.B.P;"Ofrecer atención como Centro de Asistencia Social, para atención de niñas y adolescentes, no mayores a  17 años, escolarizados; que se encuentran en situaciones de riesgo, y/o vulnerabilidad, carentes de ambientes formativos, mediante un modelo de intervención que favorece el desarrollo de sus capacidades y habilidades y que les permita lograr la transformación de sus actuales condiciones, así como la integración familiar y social.";"Estancia, alimentación, educación básica
(primaria y secundaria), talleres extraescolares,
orientación psicológica, formación humana y
espiritual para niños, niñas y adolescentes de 6 a
14 años de edad, en situación de vulnerabilidad
que vivan dentro del área metropolitana.
A los familiares y/o tutores de los menores se les
brindan talleres y atención psicológica.";Av. Constituyentes de Nuevo León 205, Colonia Linda Vista, Guadalupe N.L.;81 2318 7741;escuelaseverianomtz@gmail.com  https://escuelaseverianomartinez.edu.mx/;Pevención de Adicciones;
F;Familia Digna, A.C.;Brindar apoyo y asistencia a familias en situación especial en México y en el extranjero, buscando el mejoramiento de la calidad de vida del individuo, basándose en los principios éticos y valores morales sin importar raza, sexo ideología política o religiosa.;Asesoría y Atención Legal, Asesoría y Atención Psicológica, Mediación Familiar, Talleres de Autoempleo, Cursos de Desarrollo Humano;Porfirio Díaz 310 norte. Entre Espinosa y M.M. del Llano. Centro C.P. 64000. Monterrey NL;81223572 11 8122616411;direccion.familiadigna@gmail.com    http://familia-digna-a-c.webnode.mx;Legal/Mediación;
F;Faro en el Camino, A.C.;"Brindar capacitación para el trabajo mediante talleres formativos que fortalezcan las capacidades laborales y sociales, promuevan la orientación social y los valores humanos y culturales, contribuyendo al desarrollo integral y la reinserción social de personas privadas de la libertad o que han pasado por un proceso penal.


";Ofrece servicios dentro y fuera de los centros penitenciarios de Nuevo León, como fortalecimiento de la educación media superior y superior, tratamiento de adicciones y creación de espacios dignos para la reinserción. Asimismo, impulsa acciones externas enfocadas en el fortalecimiento del núcleo familiar, el acompañamiento a personas liberadas y la generación de oportunidades laborales. ; Diego de Montemayor 228, Centro Monterrey;8111700048;faroenelcamino@gmail.com  https://www.faroenelcamino.org/;Legal/Penitenciario;
F;Fortaleza Alvaldi, A.C.;"La rehabilitación y readaptación a la sociedad de individuos marginados, alcohólicos, drogadictos e inadaptados sociales en general; La difusión de técnicas e instrucción para la niñez y la juventud, para mantenerlos alejados del alcoholismo y delincuencia, incluyendo los centros donde se brinde apoyo y orientación a dichas personas; ";Tratamientos residenciales en un ambiente libre de droga que usa un modelo jerárquico (Comunidades Terapéuticas) que reflejan niveles cada vez mayores de responsabilidad personal y social, en donde el usuario es dinamizador de su proceso pues está basado en 6 etapas las cuales deberá ir cursando de forma óptima acompañado por nuestro equipo multidisciplinario.;Nuevo León 301, colonia Alfonso Martínez Domínguez, en García Nuevo León, C.P. 66006;8118006000;ctx.fortaleza@gmail.com https://www.facebook.com/Fortaleza-Alvaldi-ac-1629407260625755;Pevención de Adicciones;
F;Frente Nacional contra Violencia Vicaria, A.C. FNVV;Organización sin fines de lucro que brinda asistencia integral a personas víctimas de violencia vicaria y grupos vulnerables por edad, sexo o discapacidad. Ofrece apoyo alimentario y de vivienda, rehabilitación médica, asesoría jurídica para la tutela de menores, orientación social y capacitación para el trabajo.;Grupos de apoyo y contención en todos los estados de la república.  Servicio médico, psicológico y psiquiátrico telefónico gratuito para la víctima y 5 familiares de manera permanente. Apoyo en sugerencias, recomendaciones y canalizaciones con abogados y apoyo legal. Impartición de pláticas, cursos y talleres. Concientizar a las personas acerca de la violencia vicaria. Celebración de convenios de colaboración con entidades públicas y privadas, nacionales e internacionales para continuar con el apoyo para las mujeres, infancias y adolescencias víctimas de violencia vicaria.;"Escalera 9, Club de Golf la Hacienda, Atizapán de Zaragoza, Estado de México, C.P. 52959
";" 5580368300
";frentenacional.informacion@gmail.com;Mujeres/ Legal ;
F;"Frente Popular de Liberación Espiritual y Material de los Pueblos Originarios y Comunidades Indígenas, A.C. “F. L. E. M. P. O .C. I. A.C.""";La asociación tiene por objeto la defensa, protección y promoción de los derechos humanos, con especial énfasis en los derechos de los pueblos originarios, comunidades indígenas y afromexicanas, así como la difusión de la cultura de los derechos humanos mediante congresos, ponencias y otras actividades de formación, conforme a los principios establecidos en la Constitución Política de los Estados Unidos Mexicanos y demás fines previstos en su Acta Constitutiva.;"Asesoramiento legal y defensa de los Derechos Humanos. Defensa y Protección de los Derechos Humanos de los Niños y Niñas, Adolescentes, Jóvenes, Adultos
Mayores, Personas con Discapacidad, Mujeres victimas del maltrato familiar.";Huichapan 33 col. Rojo Gómez, Cd. Sahagún, Hgo;7919132766  7491077061  7498503031;jobhernandez2014@gmail.com;Indígenas/ Legal ;
F;Fundación F-21, A.C.;"Incrementar el acceso a educación de calidad en estudiantes mexicanos en un plazo de 3 años, mediante la implementación de programas y herramientas educativas innovadoras, y la formación de jóvenes líderes en servicio social.

";"Consultoría “Ayudar a Ayudar” con aplicación en alumnos de servicio social, empresarios, empresas y comunidad interesada en ayudar, realizando concientización a través de capacitaciones, actividades recreativas, convivencia social, proyectos de alto impacto, entre otros.
Apoyo comunitario a través de la “Beca Transformar” la cual ayuda mediante entregas que cubren las necesidades básicas para el desarrollo de NNA en el ámbito escolar; despensa para la correcta alimentación de los NNA, ropa y uniformes, útiles escolares, cuotas escolares, transportación así como el internet, adecuándonos a las necesidades de cada NNA/familia. 
";" Calle de los Cardenales 236 Colinas de San Jerónimo 3er sector 64630

";"
8180992369  81328 21 800


";frida.torres@f21.org.mx;Educación/ Niñez;
F;Fundación Gilberto Rincón Gallardo, A.C.;Celebrar toda clase de convenios de colaboración con instituciones académicas, instancias públicas, organismos internacionales, y organizaciones civiles para realizar proyectos relacionados con la búsqueda de una conciencia social para coadyuvar a la construcción de un México más justo y equitativo sobre la base de la defensa de los derechos humanos. Así como, la realización de actividades académicas, coloquios, seminarios, talleres, cursos, foros de discusión y análisis.;Organización mexicana dedicada a promover la inclusión, derechos humanos, cultura de paz y no discriminación. Impulsa la transformación cultural y de políticas públicas,  reconoce acciones municipales en favor de personas con discapacidad.;Calle Darwin 71, Colonia Nueva Anzures, Alcaldía Miguel Hidalgo, Ciudad de México, Código Postal 11590;55 4581 4443;mcalleja1705@gmail.com.   https://www.facebook.com/FundacionGilbertoRinconG/about ;Discapacidad/Educación;
